Symbol	log2FoldChange	foldChange	pvalue	padj	qvalue
VAPB	-0.0977983378	0.9344579578	0.0024022306	0.0499411005	0.0320918881
NNT	-0.082885464	0.9441673739	0.0024125849	0.0499411005	0.0320918881
PCP4L1	-0.2897207694	0.8180603771	0.0024142311	0.0499411005	0.0320918881
CNKSR2	0.0871513001	1.0622705844	0.0024142409	0.0499411005	0.0320918881
RPLP2	-0.1382221897	0.9086381662	0.0025337396	0.0518595591	0.0333246795
VDAC2	-0.0717005265	0.9515157708	0.0025366817	0.0518595591	0.0333246795
FUNDC2	-0.0957130848	0.9358095879	0.0025507091	0.0518595591	0.0333246795
SEPT4	-0.0882109518	0.9406885494	0.0025803	0.0521631097	0.0335197395
DIP2B	-0.0865800972	0.9417525259	0.0026080686	0.0524191696	0.0336842823
GFM1	-0.0984311979	0.9340481335	0.0026271199	0.0524191696	0.0336842823
RNPEP	0.1042504496	1.0749357638	0.0026441654	0.0524191696	0.0336842823
GABRA3	0.1238763343	1.0896587043	0.0026618258	0.0524191696	0.0336842823
GSTK1	-0.1088758001	0.9273103741	0.00266663	0.0524191696	0.0336842823
SLC22A23	-0.0938545558	0.9370159067	0.0026827764	0.0524468054	0.0337020409
UQCRFS1	-0.0799501504	0.9460903365	0.002748207	0.0534323534	0.0343353489
TARDBP	-0.145073881	0.9043330651	0.0027964112	0.0540740811	0.0347477197
MRPL46	-0.1047924095	0.9299387426	0.0028589607	0.0549141803	0.035287563
TRAPPC5	0.1138944218	1.0821454489	0.0028879246	0.0549141803	0.035287563
NDUFV2	-0.0862753977	0.9419514466	0.0029079249	0.0549141803	0.035287563
GNB4	0.1776812314	1.1310645225	0.002915202	0.0549141803	0.035287563
TUBB6	0.0846814288	1.0604535496	0.0029170264	0.0549141803	0.035287563
XPO7	0.0809684772	1.0577278521	0.0029592638	0.055060205	0.0353813977
GRIA1	0.1401431984	1.1020144937	0.00296776	0.055060205	0.0353813977
PHB2	-0.0739710731	0.9500194311	0.0029712084	0.055060205	0.0353813977
ASS1	0.1238089198	1.0896077877	0.0030047666	0.0553935724	0.0355956179
NPEPPS	0.0734470289	1.0522277686	0.0031219976	0.057258079	0.0367937399
SYK	-0.1821936176	0.8813618663	0.0031917104	0.058236439	0.037422429
CNTN2	-0.0791210389	0.9466342074	0.0032621156	0.0591295453	0.0379963343
SLC2A13	0.1416597382	1.1031735242	0.0032738956	0.0591295453	0.0379963343
WDFY1	0.1422665124	1.1036375987	0.003313475	0.0595421425	0.0382614672
VAT1	0.0912026194	1.0652578031	0.0033727081	0.0599661923	0.0385339593
NDUFB7	-0.0777772632	0.9475163458	0.0033866315	0.0599661923	0.0385339593
INF2	-0.1034177501	0.9308252489	0.0033876348	0.0599661923	0.0385339593
CNRIP1	0.1084531614	1.0780717223	0.0034582682	0.0609134569	0.0391426665
CNTN1	0.0844157978	1.0602583154	0.0035086125	0.0612556506	0.0393625584
DNAJC11	-0.0832456391	0.9439316878	0.0035121284	0.0612556506	0.0393625584
NDUFS1	-0.1034633923	0.9307958011	0.003529693	0.0612616958	0.039366443
MTX3	-0.1179241188	0.9215126536	0.0035538384	0.0613813448	0.0394433288
SMIM20	-0.0850053555	0.9427810362	0.0035888047	0.0616858322	0.0396389908
CYFIP2	0.0903372066	1.0646189908	0.0036062598	0.0616878485	0.0396402865
CARM1	0.1003021186	1.071997929	0.0036485616	0.061869381	0.0397569384
CCDC58	-0.0985541219	0.9339685519	0.0036516498	0.061869381	0.0397569384
PTPRA	0.0955978904	1.0685081339	0.0036928822	0.0622210158	0.039982897
CNTN5	0.1495863478	1.1092513798	0.0037143239	0.0622210158	0.039982897
APOA1BP	0.1088942129	1.0784013539	0.0037248669	0.0622210158	0.039982897
ADAM23	-0.0963302857	0.9354093239	0.0037632537	0.0623627505	0.040073975
SEPT10	0.0942949361	1.0675435581	0.0037756843	0.0623627505	0.040073975
SCN1A	-0.2058771918	0.867011364	0.0037969299	0.0623627505	0.040073975
CS	-0.0753419981	0.9491171013	0.0038034617	0.0623627505	0.040073975
MYO1D	-0.1306134044	0.9134429904	0.003861271	0.0629573002	0.0404560295
RAB23	0.0974509946	1.0698814866	0.0038978147	0.0629573002	0.0404560295
RPL10P16	-0.0745228657	0.9496561434	0.003898988	0.0629573002	0.0404560295
PFKL	0.0832637324	1.0594119832	0.0039105012	0.0629573002	0.0404560295
ATP5H	-0.1127647357	0.9248140778	0.0039519414	0.0631301676	0.0405671132
SYNJ2	-0.1451312472	0.9042971066	0.0039725176	0.0631301676	0.0405671132
VIM	0.2536750759	1.1922403254	0.0039744681	0.0631301676	0.0405671132
NDUFB11	-0.083625771	0.9436830065	0.0040403996	0.0638921853	0.0410567817
DLD	-0.0634710203	0.9569589731	0.0041067928	0.0646547284	0.0415467879
SFXN1	-0.1080577454	0.9278363381	0.0041321266	0.0647669894	0.0416189263
FAM21C	-0.1418382218	0.9063635686	0.0041786022	0.0651786625	0.0418834652
ARHGEF12	0.0599375371	1.0424206272	0.0041950291	0.0651786625	0.0418834652
CDV3	-0.1811880306	0.8819764072	0.004330295	0.0669877808	0.0430459951
NRN1	-0.1055489697	0.9294512035	0.0043712538	0.0671093722	0.0431241291
KPNA6	0.0894816332	1.0639878181	0.0043758781	0.0671093722	0.0431241291
SMS	0.0869708583	1.0621377317	0.0044998634	0.0687146528	0.0441556739
MAP2K6	0.0812973211	1.0579689751	0.0046051141	0.0695252473	0.0446765577
EPB42	0.2391386823	1.1802877957	0.0046172588	0.0695252473	0.0446765577
SLC8A2	0.1028464534	1.073890171	0.0046395165	0.0695252473	0.0446765577
UQCRC2	-0.1119353381	0.9253459013	0.0046868103	0.0695252473	0.0446765577
KRT9	-0.470753919	0.7215874143	0.0046957483	0.0695252473	0.0446765577
VCP	0.0457670546	1.0322318523	0.0046985824	0.0695252473	0.0446765577
TMX2	-0.1149237994	0.9234310834	0.0047207797	0.0695252473	0.0446765577
PYGB	0.081913519	1.0584209469	0.0047267467	0.0695252473	0.0446765577
COX6C	-0.1085842427	0.9274977952	0.0047510654	0.0695252473	0.0446765577
PPM1L	-0.1777303051	0.8840927864	0.0048046728	0.0695252473	0.0446765577
RPS20	-0.0654735868	0.9556315653	0.0048066688	0.0695252473	0.0446765577
PLXNC1	0.1719977636	1.1266174821	0.0048239493	0.0695252473	0.0446765577
FHL1	0.1123063531	1.0809549161	0.00482513	0.0695252473	0.0446765577
UQCRB	-0.1043467557	0.9302260485	0.0048427777	0.0695252473	0.0446765577
SNCA	0.0901255171	1.0644627886	0.0048460543	0.0695252473	0.0446765577
GNB2L1	-0.0627736865	0.9574216358	0.0049830734	0.070251987	0.0451435568
RPS3A	-0.0547677587	0.9627494115	0.0049906929	0.070251987	0.0451435568
ATAD3A	-0.0837215096	0.9436203849	0.0050197992	0.070251987	0.0451435568
CHMP6	0.1022680606	1.0734597225	0.0050313076	0.070251987	0.0451435568
EML2	-0.1516548078	0.9002172981	0.0050345724	0.070251987	0.0451435568
GSS	0.0656956303	1.0465894566	0.0050421418	0.070251987	0.0451435568
TPP2	-0.0869883369	0.9414860757	0.0050560516	0.070251987	0.0451435568
HNRNPC	-0.1147893713	0.9235171313	0.0050829052	0.070251987	0.0451435568
RPS6	-0.0667600493	0.954779801	0.005093908	0.070251987	0.0451435568
OPA1	-0.0689772732	0.9533135627	0.0051093625	0.070251987	0.0451435568
FAF1	-0.0689322754	0.9533432971	0.0051139024	0.070251987	0.0451435568
BCAT1	-0.114925502	0.9234299937	0.0051867307	0.0709659538	0.0456023481
SUMO2	-0.0921393398	0.9381305846	0.0052379949	0.0709659538	0.0456023481
LUZP1	-0.1535170783	0.8990560225	0.005245168	0.0709659538	0.0456023481
CNTN3	0.116988743	1.084468947	0.0052649778	0.0709659538	0.0456023481
PEBP1	0.0549567929	1.0388279911	0.005265602	0.0709659538	0.0456023481
ATPAF1	-0.08053541	0.9457066129	0.005344227	0.0717538095	0.04610862
MCU	-0.0917465676	0.9383860245	0.0054123175	0.0723948337	0.0465205388
GPM6B	0.1178892229	1.0851460459	0.0054379788	0.0724656494	0.0465660446
ATP1A2	-0.1236894499	0.9178374319	0.0054650834	0.0725550997	0.0466235249
SUGP2	-0.1153938565	0.9231302613	0.0055292584	0.0731342065	0.0469956559
MICU1	-0.0795953433	0.9463230405	0.0055949059	0.0737284269	0.0473774988
HBA1	0.4298504506	1.3470939302	0.0056592738	0.0743014623	0.0477457283
IPO9	0.104625364	1.0752151446	0.0056891352	0.0744189088	0.0478211988
SYN1	0.1490111732	1.108809231	0.0057292412	0.0746690121	0.0479819138
DPYSL5	0.092197194	1.0659924307	0.0058361562	0.0757848309	0.0486989331
ZMYM3	0.1099269434	1.0791735868	0.0059171441	0.0764218627	0.0491082864
SUCLG1	-0.1314026437	0.9129434198	0.0059281715	0.0764218627	0.0491082864
CST3	-0.1960613355	0.8729304781	0.0059832802	0.0768538308	0.0493858668
SRP14	-0.0841719103	0.9433258383	0.0060217659	0.0770699397	0.0495247373
PTMS	-0.1541932843	0.8986347244	0.0060637974	0.0772177567	0.0496197237
NTM	-0.0937666948	0.9370729733	0.0060779468	0.0772177567	0.0496197237
OTUB1	0.0510540907	1.0360216062	0.0061168727	0.0772177567	0.0496197237
PRKAB1	-0.0837539668	0.943599156	0.0061309706	0.0772177567	0.0496197237
S100A1	-0.2051860954	0.8674267892	0.0061418283	0.0772177567	0.0496197237
DDHD1	-0.1330212858	0.9119197108	0.0062776954	0.078648029	0.0505388092
L1CAM	0.0901184965	1.0644576086	0.0063871503	0.0797385288	0.0512395586
NPTXR	0.1739878958	1.128172672	0.0064704136	0.0804955645	0.0517260258
GNB1	0.0763427673	1.0543418927	0.006494655	0.0805156181	0.0517389121
CDC42BPA	-0.0609492794	0.9586331404	0.0065571744	0.0808744864	0.051969519
AGK	-0.069999382	0.9526384061	0.0065690631	0.0808744864	0.051969519
PDE2A	0.131084251	1.0951164219	0.0066717851	0.0818559012	0.052600171
PRDX5	-0.0738954748	0.9500692142	0.0067013246	0.081935783	0.0526515026
ETFDH	-0.0690955924	0.9532353822	0.0067702406	0.0824188488	0.0529619181
SRR	0.1661160004	1.1220336944	0.0068057059	0.0824188488	0.0529619181
ATP6V1H	0.0464250074	1.0327027173	0.0068103265	0.0824188488	0.0529619181
GPM6A	0.173769686	1.1280020472	0.0068684396	0.0825148516	0.053023609
ATP1A1	-0.0957224144	0.9358035363	0.0068698735	0.0825148516	0.053023609
SYNRG	-0.0700554257	0.9526014001	0.0068878333	0.0825148516	0.053023609
PGAM1	0.2035986889	1.1515672691	0.0069831548	0.0827672224	0.0531857811
GNAI1	-0.1211884517	0.919429938	0.0069854008	0.0827672224	0.0531857811
RPS3	-0.0638765973	0.9566899862	0.0070015373	0.0827672224	0.0531857811
HSPA9	-0.0687769274	0.9534459577	0.0070019488	0.0827672224	0.0531857811
CTSL	-0.1014863338	0.9320722311	0.0070438882	0.0829872656	0.0533271798
FAM169A	-0.0791308972	0.9466277389	0.0070940247	0.083302112	0.0535294984
RPRD1B	-0.1023367806	0.9315229506	0.0072710206	0.0850996419	0.0546845816
NDUFS6	-0.1041656066	0.9303428577	0.0073568037	0.085557154	0.0549785765
GMFB	0.0693494558	1.049243449	0.0073582718	0.085557154	0.0549785765
PPA1	-0.0809678646	0.9454231754	0.0073822502	0.085557154	0.0549785765
STRBP	-0.1024908587	0.9314234704	0.007530055	0.0867366784	0.0557365326
IST1	0.0775736781	1.0552418435	0.0075443626	0.0867366784	0.0557365326
FAM114A1	0.1660593355	1.121989625	0.0075571586	0.0867366784	0.0557365326
TSN	0.1261145109	1.0913504973	0.0076634902	0.0873831691	0.0561519642
SNAP29	0.1007563903	1.0723355297	0.0076646817	0.0873831691	0.0561519642
GRM5	0.1401636281	1.1020300992	0.0076871647	0.0873831691	0.0561519642
ATP1B3	0.1369129264	1.0995497842	0.0077982838	0.0883639926	0.0567822362
SEPT2	0.0798717061	1.0569240478	0.0079131842	0.0893812992	0.0574359521
SPECC1L	0.0618385595	1.0437951181	0.0079581888	0.0896051761	0.0575798142
SCN1B	-0.1678293764	0.8901810063	0.0079896846	0.0896760188	0.0576253373
ATP5F1	-0.0739731828	0.9500180419	0.0080227673	0.0897641702	0.057681983
ARHGAP35	0.0621566712	1.0440252985	0.0080867639	0.0901965698	0.0579598407
RPL10A	-0.0547754372	0.9627442875	0.0081913116	0.0910771462	0.0585256944
RPL12	-0.0606648145	0.9588221785	0.0083333376	0.0922188063	0.0592593192
SLC25A10	-0.1447873584	0.9045126856	0.0083458279	0.0922188063	0.0592593192
RABGGTA	0.06239196	1.0441955822	0.0083836365	0.0922635816	0.0592880915
RPL22	-0.0630643335	0.9572287719	0.0084017427	0.0922635816	0.0592880915
SNPH	-0.0574630692	0.9609524371	0.0084344934	0.0923382387	0.0593360658
EPB41L3	-0.1181130824	0.9213919621	0.0084908164	0.092508707	0.0594456078
SLC6A7	0.3813317453	1.3025436729	0.0085458947	0.092508707	0.0594456078
ACY1	-0.1123010983	0.9251113321	0.0085533538	0.092508707	0.0594456078
VAMP3	0.1339291528	1.0972780516	0.0085626899	0.092508707	0.0594456078
TPPP	0.078333052	1.0557974246	0.0085800656	0.092508707	0.0594456078
DGKA	0.0714040636	1.050738789	0.0086089481	0.0925396895	0.059465517
N4BP1	-0.1658534301	0.8914010528	0.0087604942	0.0938850549	0.0603300417
MTDH	-0.096091096	0.9355644217	0.0088493722	0.094552752	0.0607591004
VARS	-0.0701155548	0.9525616981	0.008883308	0.0946311669	0.0608094894
DNM1L	-0.0853632961	0.942547156	0.0089573835	0.0949452589	0.0610113232
OSBPL6	-0.0729215057	0.9507108262	0.0089961129	0.0949452589	0.0610113232
MBNL1	-0.0816470238	0.9449782153	0.0090499532	0.0949452589	0.0610113232
IGSF9B	-0.1061174385	0.9290850416	0.0090579481	0.0949452589	0.0610113232
YWHAB	0.0780482968	1.0555890548	0.0090846133	0.0949452589	0.0610113232
UBA1	0.0648307143	1.0459621995	0.0091108386	0.0949452589	0.0610113232
